First,Last,String1,Date1,Date2,Date3,Date4,Date5,Date6,Integer1,Integer2,Integer3,String2,String3,Time1,Time2,Time3,Time4
Nat,Frami,F,07/06/2018,2018/02/08,02-25-2019,08/10/2017 00:00:00,1971-12-10 18:00:00,20/01/1972 21:00,"$1,833,233.85",147,0,Datafono Debito,Product Number: ¡**ª-58216687-¿çC¡,03:43:19,03:07:35 AM,03:31,034324
Venie,Waters,F,17/06/2017,2019/01/30,05-13-2017,03/02/2019 00:00:00,1971-11-25 17:00:00,13/12/1971 16:00,"$1,276,229.84",121,1,Datafono Tarjeta,Product Number: GED?-79881719-#ç!A,03:47:17,04:56:53 AM,03:44,045708
Pam,Williamson,M,25/10/2017,2015/12/26,02-01-2017,14/10/2016 00:00:00,1971-11-17 16:00:00,28/11/1971 17:00,"$1,491,405.19",110,1,PSE,Product Number: çGH¡-36561896-¡?/¡,03:04:05,04:18:34 AM,04:56,042318
Adalynn,Schowalter,F,12/01/2016,2020/01/27,03-27-2015,22/02/2015 00:00:00,1971-12-30 02:00:00,21/01/1972 05:00,"$1,154,103.06",194,0,PSE,Product Number: ¡F#F-70435791-çF/H,04:17:31,04:31:54 AM,03:15,041524
Ruthe,Herzog,F,15/07/2017,2019/02/02,12-20-2018,11/01/2019 00:00:00,1971-11-26 03:00:00,05/01/1972 10:00,"$1,082,997.05",128,1,Datafono Debito,Product Number: FED?-88774948-¡!ª#,03:56:32,03:07:51 AM,04:29,042753
Chastity,Kassulke,M,24/08/2018,2015/08/25,04-02-2017,30/01/2018 00:00:00,1971-12-13 04:00:00,25/01/1972 08:00,"$1,458,504.02",197,0,PSE,Product Number: #A/!-50728062-#!F¡,03:08:34,04:48:08 AM,04:56,033330
Tamatha,Cummerata,M,08/11/2019,2016/10/24,12-16-2018,17/11/2016 00:00:00,1971-12-30 14:00:00,08/01/1972 10:00,"$1,340,151.61",144,1,Datafono Debito,Product Number: *¿AC-10882061-E*GC,04:12:40,03:28:22 AM,05:00,044041
Deloris,Marks,F,10/07/2015,2019/04/21,10-25-2019,24/11/2015 00:00:00,1972-01-31 12:00:00,28/12/1971 17:00,"$1,142,219.99",187,1,Datafono Tarjeta,Product Number: /¡¿B-26302948-¡DF*,04:53:07,04:55:41 AM,04:57,040035
Lashawn,O'Keefe,F,01/09/2016,2019/11/12,06-11-2018,20/05/2016 00:00:00,1972-01-06 04:00:00,17/01/1972 15:00,"$1,349,066.52",193,1,Datafono Tarjeta,Product Number: !¿¡B-62556515-¿!ª?,03:08:42,03:51:12 AM,03:45,045730
Mina,Hoeger,M,26/11/2015,2017/04/11,02-17-2018,05/12/2018 00:00:00,1972-01-25 09:00:00,01/01/1972 01:00,"$1,554,528.80",191,1,Entregado por Facturar,Product Number: ¿F!!-33016156-*ªHB,03:35:07,04:24:47 AM,04:42,044649
Thompson,Barton,M,10/09/2018,2017/02/06,01-23-2016,03/04/2016 00:00:00,1972-01-10 05:00:00,31/01/1972 02:00,"$1,276,828.94",131,1,Efectivo,Product Number: ªª#E-67203594-HGD!,03:26:24,04:40:47 AM,04:56,042235
Vidal,Ortiz,F,14/02/2019,2017/03/16,04-24-2019,06/06/2018 00:00:00,1971-11-18 11:00:00,11/01/1972 17:00,"$1,122,509.76",168,0,PSE,Product Number: G¿A¿-07858139-B¿B/,03:24:57,03:57:59 AM,04:50,031316
Jessy,Crist,M,29/01/2018,2015/06/21,04-05-2019,23/06/2016 00:00:00,1972-01-06 23:00:00,25/11/1971 15:00,"$1,027,133.70",120,1,Datafono Tarjeta,Product Number: CªçF-62416187-FAH¡,04:59:51,04:45:09 AM,04:31,043238
Reyes,Schowalter,F,24/08/2019,2017/05/05,02-25-2017,26/02/2015 00:00:00,1971-11-26 11:00:00,30/11/1971 18:00,"$1,590,634.63",192,0,Tarjeta Credito,Product Number: çBH?-88331265-¡AHç,03:15:16,04:31:40 AM,03:54,032705
Elenora,Swaniawski,M,07/09/2016,2017/05/10,03-02-2017,21/06/2015 00:00:00,1971-11-25 03:00:00,04/12/1971 23:00,"$1,548,624.27",107,0,Tarjeta Credito,Product Number: ¿?GA-92156782-A*?*,04:34:42,04:10:57 AM,04:03,030752
Dayne,Walker,F,29/08/2018,2018/09/12,11-25-2018,29/03/2018 00:00:00,1972-01-08 12:00:00,07/12/1971 03:00,"$1,466,126.79",170,1,Tarjeta Credito,Product Number: AGCç-02298360-DC¿A,04:29:00,04:13:42 AM,03:40,041337
Tamya,Hoeger,F,03/02/2018,2019/07/27,12-02-2017,12/10/2018 00:00:00,1971-12-23 15:00:00,30/12/1971 23:00,"$1,983,706.83",119,0,Efectivo,Product Number: ççªH-75844937-ª!?F,03:07:20,03:14:33 AM,04:06,041809
Mac,Gutkowski,F,10/09/2019,2018/09/07,10-07-2017,10/12/2015 00:00:00,1972-01-15 21:00:00,26/12/1971 04:00,"$1,951,888.27",149,0,PSE,Product Number: H¿ç¿-47490826-#F#¡,04:42:25,03:59:40 AM,04:13,043633
Evert,Runolfsson,F,20/03/2018,2018/06/28,09-30-2019,22/03/2015 00:00:00,1971-12-03 11:00:00,21/01/1972 08:00,"$1,516,965.82",198,0,PSE,Product Number: /DA*-06060079-?¿/?,03:48:41,04:21:22 AM,04:33,044521
Kalel,Klocko,F,08/08/2018,2015/07/23,05-27-2015,04/10/2017 00:00:00,1971-12-27 02:00:00,28/01/1972 15:00,"$1,408,769.25",128,1,Efectivo,Product Number: #¡G!-88750331-EGçD,04:27:04,04:06:18 AM,04:42,031337
Pearlie,Gulgowski,M,07/10/2017,2016/02/19,01-30-2019,22/03/2015 00:00:00,1972-01-15 11:00:00,29/11/1971 08:00,"$1,787,230.90",197,0,PSE,Product Number: ¿*ªB-55667485-BAF!,04:01:26,03:59:20 AM,03:59,044221
Otho,Torp,F,08/03/2015,2017/11/13,09-27-2016,06/02/2018 00:00:00,1971-12-22 02:00:00,25/11/1971 16:00,"$1,366,523.65",157,0,Datafono Tarjeta,Product Number: AC!C-10461057-¿!#B,03:17:38,04:01:29 AM,04:25,035345
Lettie,Hermiston,M,07/01/2016,2017/12/03,09-25-2018,14/05/2016 00:00:00,1972-01-10 17:00:00,13/12/1971 16:00,"$1,066,017.89",193,0,Entregado por Facturar,Product Number: ªCBE-05168494-BFGE,04:34:52,04:47:43 AM,03:32,044731
Ida,Pagac,M,22/06/2016,2019/11/19,09-23-2018,08/06/2017 00:00:00,1971-11-18 19:00:00,30/11/1971 13:00,"$1,676,648.15",169,1,Datafono Tarjeta,Product Number: B/GB-16373082-çç¿F,04:09:09,03:13:39 AM,04:22,042225
Tayla,Bogisich,M,30/03/2016,2017/07/13,01-08-2015,27/06/2017 00:00:00,1971-12-27 05:00:00,20/01/1972 09:00,"$1,162,452.35",116,1,Datafono Tarjeta,Product Number: C!C*-23076425-Bª?ª,03:22:42,04:05:21 AM,03:38,042811
Erwin,Gutkowski,M,07/07/2019,2018/01/12,03-04-2015,01/06/2016 00:00:00,1971-12-22 05:00:00,05/01/1972 04:00,"$1,601,693.73",159,0,Entregado por Facturar,Product Number: E¡B¿-88355830-HGCH,04:00:22,04:33:56 AM,03:20,044752
Cornie,Stamm,F,28/01/2020,2016/09/09,07-12-2015,04/09/2019 00:00:00,1971-12-22 01:00:00,11/01/1972 10:00,"$1,548,219.39",161,0,Efectivo,Product Number: *¿¿ª-87656656-!/ªA,04:53:16,04:26:20 AM,05:03,031307
Janna,Cruickshank,F,04/08/2017,2019/08/30,07-26-2018,18/01/2018 00:00:00,1971-12-17 12:00:00,19/12/1971 03:00,"$1,751,753.19",153,0,Efectivo,Product Number: ªB¿C-10439336-¡Aç?,04:56:15,03:11:49 AM,03:24,035739
Love,Beatty,M,29/03/2017,2017/03/18,04-27-2017,16/05/2015 00:00:00,1972-01-21 13:00:00,18/01/1972 14:00,"$1,787,365.61",185,0,Datafono Debito,Product Number: /¡ªª-54281872-G#ç?,04:33:03,04:30:50 AM,04:56,042809
Buddy,Thiel,M,12/09/2016,2016/09/11,02-27-2017,24/01/2017 00:00:00,1972-01-11 20:00:00,15/01/1972 01:00,"$1,278,355.80",118,0,Tarjeta Credito,Product Number: D?¡C-86831881-/EF?,04:19:08,04:28:09 AM,03:09,032233
Tera,Schmeler,M,04/06/2017,2015/02/25,08-19-2015,09/04/2017 00:00:00,1972-01-23 03:00:00,18/01/1972 23:00,"$1,152,367.13",111,0,Datafono Debito,Product Number: çE¡D-15816814-B?Gª,03:11:26,03:08:04 AM,04:49,045615
Rosalinda,Berge,M,25/04/2015,2019/07/14,05-23-2019,28/05/2017 00:00:00,1971-12-07 23:00:00,08/12/1971 11:00,"$1,576,746.91",172,1,Efectivo,Product Number: DFCF-32321774-A#!¿,04:44:00,04:51:50 AM,03:33,044153
Icey,Morar,F,26/08/2017,2015/05/15,03-16-2018,27/10/2018 00:00:00,1971-12-06 23:00:00,15/01/1972 06:00,"$1,289,867.26",153,1,Datafono Debito,Product Number: EBAG-25855956-B/¡?,03:36:43,03:28:25 AM,05:02,041639
Francisca,Welch,M,21/01/2015,2015/03/26,08-06-2016,25/06/2017 00:00:00,1972-01-23 22:00:00,19/12/1971 20:00,"$1,805,135.40",131,1,Entregado por Facturar,Product Number: ¡EBB-44715045-/ª*/,03:26:29,04:02:27 AM,04:24,035815
Frankie,Powlowski,F,02/04/2015,2016/12/07,08-22-2017,03/04/2017 00:00:00,1972-01-20 13:00:00,30/11/1971 11:00,"$1,306,248.27",160,0,Tarjeta Credito,Product Number: !#/ª-14309251-¿FEç,04:12:33,03:25:33 AM,04:10,045131
Anastacia,Armstrong,M,26/11/2016,2018/02/14,10-24-2019,01/09/2016 00:00:00,1972-01-11 15:00:00,24/12/1971 00:00,"$1,922,005.78",149,0,Entregado por Facturar,Product Number: ¡GB*-44692493-H/A#,03:40:53,03:31:40 AM,03:26,031006
Frederick,Hagenes,F,24/12/2016,2018/11/11,01-13-2017,03/03/2015 00:00:00,1971-12-21 08:00:00,31/01/1972 12:00,"$1,399,525.98",112,1,Efectivo,Product Number: EçHF-42299241-D*DG,03:09:37,04:06:35 AM,03:25,041332
Loyd,Friesen,M,03/09/2018,2019/08/09,06-04-2017,01/08/2019 00:00:00,1971-11-28 10:00:00,26/01/1972 00:00,"$1,476,438.62",137,0,PSE,Product Number: ?¿F?-96671029-!FBB,03:24:58,04:35:05 AM,03:35,032448
Champ,O'Reilly,M,10/04/2017,2015/05/28,02-08-2018,06/11/2015 00:00:00,1971-12-17 10:00:00,20/12/1971 16:00,"$1,328,259.28",136,0,Efectivo,Product Number: ACGD-34874980-*çD#,04:46:50,03:58:54 AM,03:17,035846
Kameron,Schmitt,F,07/07/2019,2019/11/30,07-05-2016,07/12/2016 00:00:00,1971-12-11 12:00:00,14/12/1971 00:00,"$1,904,749.76",116,0,Tarjeta Credito,Product Number: ?GçB-95591507-F!#*,03:17:44,04:01:22 AM,04:53,035219
Easter,Rau,F,26/04/2017,2018/11/01,02-16-2019,14/02/2015 00:00:00,1972-01-20 04:00:00,21/01/1972 11:00,"$1,630,113.23",177,1,Datafono Tarjeta,Product Number: HA?G-70252007-HDªC,04:32:24,04:32:56 AM,03:46,031322
Percival,Kuvalis,M,05/01/2017,2017/04/07,05-17-2018,11/10/2015 00:00:00,1972-01-04 03:00:00,24/12/1971 00:00,"$1,081,002.23",148,1,Efectivo,Product Number: A#!¡-32399144-DAFG,03:17:01,03:20:28 AM,03:14,040421
Shedrick,Kessler,M,05/08/2018,2018/03/05,02-24-2015,29/12/2017 00:00:00,1972-01-27 13:00:00,04/12/1971 15:00,"$1,939,411.28",139,0,Efectivo,Product Number: G?¡F-44061914-FAD/,03:49:36,03:40:04 AM,04:05,040321
Daniela,Crona,F,27/08/2019,2020/01/22,12-11-2019,31/01/2016 00:00:00,1971-12-27 18:00:00,09/01/1972 11:00,"$1,134,156.76",158,1,Efectivo,Product Number: *C?¿-35144083-#ª#D,04:18:13,04:58:34 AM,05:03,032210
Kelly,Rath,F,06/04/2017,2015/02/15,06-24-2016,05/08/2017 00:00:00,1971-12-10 02:00:00,15/01/1972 09:00,"$1,770,720.67",103,0,Tarjeta Credito,Product Number: #ç!#-61447383-ªG*ª,04:58:02,04:15:47 AM,04:28,040949
Kassie,Nitzsche,M,20/09/2018,2017/11/06,05-07-2015,19/11/2017 00:00:00,1972-01-27 12:00:00,02/01/1972 22:00,"$1,419,871.11",142,0,Datafono Tarjeta,Product Number: D¡A?-24629397-DF#A,03:46:31,03:32:01 AM,04:26,035637
Clide,Yundt,F,24/10/2015,2015/07/07,11-01-2015,28/06/2018 00:00:00,1971-12-29 00:00:00,15/12/1971 05:00,"$1,089,320.01",132,0,Datafono Tarjeta,Product Number: BG¿/-44316632-HB¡C,04:02:02,04:16:08 AM,03:33,035649
